timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2023-04-22 00:05:00,-54889716300505926070720,81119610420,-272421,-272475,-272475,-272421,0,81119610420,24613659288153101366
2023-04-22 00:06:00,0,0,-272421,-272421,-272421,-272421,0,0,24613659288153101366
2023-04-22 00:07:00,0,0,-272421,-272421,-272421,-272421,0,0,24613659288153101366
2023-04-22 00:08:00,39612841713764817818557,-58235980244,-272460,-272422,-272460,-272422,39612841713764817818557,0,24613659288153101366
2023-04-22 00:09:00,29647853318378080837032,-43437492493,-272460,-272461,-272490,-272461,29647853318378080837032,0,24613659288153101366
2023-04-22 00:10:00,0,0,-272460,-272460,-272460,-272460,0,0,24613659288153101366
2023-04-22 00:11:00,0,0,-272460,-272460,-272460,-272460,0,0,24613659288153101366
2023-04-22 00:12:00,-44637169954829551088792,65841927309,-272448,-272449,-272449,-272445,0,65841927309,24613922453265874892
2023-04-22 00:13:00,0,0,-272448,-272448,-272448,-272448,0,0,24613922453265874892
2023-04-22 00:14:00,0,0,-272448,-272448,-272448,-272448,0,0,24613922453265874892
2023-04-22 00:15:00,0,0,-272448,-272448,-272448,-272448,0,0,24613922453265874892
2023-04-22 00:16:00,8414900000000000000000,-12360163126,-272448,-272446,-272454,-272446,8414900000000000000000,0,24613922453265874892
2023-04-22 00:17:00,0,0,-272448,-272448,-272448,-272448,0,0,24613922453265874892
2023-04-22 00:18:00,8564200000000000000000,-12568965229,-272462,-272455,-272462,-272455,8564200000000000000000,0,24399828191108417248
2023-04-22 00:19:00,14120800000000000000000,-20700690556,-272476,-272463,-272476,-272463,14120800000000000000000,0,24399828191108417248
2023-04-22 00:20:00,2047657031927613000000,-2999403187,-272478,-272478,-272478,-272478,2047657031927613000000,0,24399828191108417248
2023-04-22 00:21:00,0,0,-272478,-272478,-272478,-272478,0,0,24399828191108417248
2023-04-22 00:22:00,8227900000000000000000,-12046077619,-272486,-272479,-272486,-272479,8227900000000000000000,0,24399828191108417248
2023-04-22 00:23:00,12961699999000000000000,-18956715771,-272499,-272487,-272499,-272487,12961699999000000000000,0,24399828191108417248
2023-04-22 00:24:00,11091787021537011893732,-16202641272,-272510,-272500,-272510,-272500,11091787021537011893732,0,24399828191108417248
2023-04-22 00:25:00,17658049874117236081701,-25757853635,-272528,-272511,-272528,-272511,17658049874117236081701,0,24367519138210616704
2023-04-22 00:26:00,8213413348751439350099,-11965609879,-272536,-272529,-272536,-272529,8213413348751439350099,0,24367519138210616704
2023-04-22 00:27:00,1799453080888799600000,-2620213163,-272537,-272537,-272537,-272537,1799453080888799600000,0,24367519138210616704
2023-04-22 00:28:00,10310639441939981449512,-15004506208,-272537,-272539,-272548,-272539,10310639441939981449512,0,24367519138210616704
2023-04-22 00:29:00,1698100000000000000000,-2469685084,-272549,-272548,-272549,-272548,1698100000000000000000,0,24367709496909200910
2023-04-22 00:30:00,11773016965954189062078,-17111065856,-272561,-272551,-272561,-272551,11773016965954189062078,0,24367709496909200910
2023-04-22 00:31:00,4059450869255150630312,-5895449776,-272565,-272562,-272565,-272562,4059450869255150630312,0,24367709496909200910
2023-04-22 00:32:00,15466871852999999868928,-22440552442,-272580,-272566,-272580,-272566,15466871852999999868928,0,24367709496909200910
2023-04-22 00:33:00,4623986586000000000000,-6702127488,-272585,-272581,-272585,-272581,4623986586000000000000,0,23223732134600029911
2023-04-22 00:34:00,0,0,-272585,-272585,-272585,-272585,0,0,23223732134600029911
2023-04-22 00:35:00,0,0,-272585,-272585,-272585,-272585,0,0,23223732134600029911
2023-04-22 00:36:00,0,0,-272585,-272585,-272585,-272585,0,0,23223732134600029911
2023-04-22 00:37:00,3945095499408673500000,-5715589666,-272589,-272587,-272589,-272587,3945095499408673500000,0,23223732134600029911
2023-04-22 00:38:00,6146480520249721433972,-8900271565,-272595,-272591,-272595,-272591,6146480520249721433972,0,23223732134600029911
2023-04-22 00:39:00,0,0,-272595,-272595,-272595,-272595,0,0,23223732134600029911
2023-04-22 00:40:00,0,0,-272595,-272595,-272595,-272595,0,0,23223732134600029911
2023-04-22 00:41:00,0,0,-272595,-272595,-272595,-272595,0,0,23223732134600029911
2023-04-22 00:42:00,0,0,-272595,-272595,-272595,-272595,0,0,23223732134600029911
2023-04-22 00:43:00,0,0,-272595,-272595,-272595,-272595,0,0,23223732134600029911
2023-04-22 00:44:00,0,0,-272595,-272595,-272595,-272595,0,0,23223732134600029911
2023-04-22 00:45:00,0,0,-272595,-272595,-272595,-272595,0,0,23223732134600029911
2023-04-22 00:46:00,0,0,-272595,-272595,-272595,-272595,0,0,23223732134600029911
2023-04-22 00:47:00,0,0,-272595,-272595,-272595,-272595,0,0,23223732134600029911
2023-04-22 00:48:00,-1236700000000000000000,1801111249,-272594,-272594,-272594,-272594,0,1801111249,23236544485090230099
2023-04-22 00:49:00,0,0,-272594,-272594,-272594,-272594,0,0,23236544485090230099
2023-04-22 00:50:00,0,0,-272594,-272594,-272594,-272594,0,0,23236544485090230099
2023-04-22 00:51:00,0,0,-272594,-272594,-272594,-272594,0,0,23236544485090230099
2023-04-22 00:52:00,0,0,-272594,-272594,-272594,-272594,0,0,23236544485090230099
2023-04-22 00:53:00,0,0,-272594,-272594,-272594,-272594,0,0,23236544485090230099
2023-04-22 00:54:00,0,0,-272594,-272594,-272594,-272594,0,0,23236544485090230099
2023-04-22 00:55:00,0,0,-272594,-272594,-272594,-272594,0,0,23236544485090230099
2023-04-22 00:56:00,-17095299999999999737856,24920973388,-272577,-272593,-272593,-272577,0,24920973388,24380521847399401098
2023-04-22 00:57:00,0,0,-272577,-272577,-272577,-272577,0,0,24380521847399401098
2023-04-22 00:58:00,0,0,-272577,-272577,-272577,-272577,0,0,24380521847399401098
2023-04-22 00:59:00,0,0,-272577,-272577,-272577,-272577,0,0,24380521847399401098
2023-04-22 01:00:00,1203400000000000000000,-1745181809,-272578,-272578,-272578,-272578,1203400000000000000000,0,24380521847399401098
2023-04-22 01:01:00,4297339999999999960001,-6230343235,-272582,-272578,-272582,-272578,4297339999999999960001,0,23236544485090230099
2023-04-22 01:02:00,-18345908600550077351665,26777103491,-272564,-272565,-272581,-272564,0,26777103491,24396816820560616979
2023-04-22 01:03:00,0,0,-272564,-272564,-272564,-272564,0,0,24396816820560616979
2023-04-22 01:04:00,0,0,-272564,-272564,-272564,-272564,0,0,24396816820560616979
2023-04-22 01:05:00,0,0,-272564,-272564,-272564,-272564,0,0,24396816820560616979
2023-04-22 01:06:00,0,0,-272564,-272564,-272564,-272564,0,0,24396816820560616979
2023-04-22 01:07:00,28746095223618674341464,-41683780241,-272593,-272565,-272593,-272565,28746095223618674341464,0,23236544485090230099
2023-04-22 01:08:00,2788400000000000000000,-4036874407,-272593,-272594,-272596,-272594,2788400000000000000000,0,23236544485090230099
2023-04-22 01:09:00,8409563321733500528862,-12167804359,-272604,-272596,-272604,-272596,8409563321733500528862,0,23236751925752221501
2023-04-22 01:10:00,-4397825363051016982773,6434177904,-272600,-272608,-272608,-272600,3892183926707861848064,12062202762,23236751925752221501
2023-04-22 01:11:00,0,0,-272600,-272600,-272600,-272600,0,0,23236751925752221501
2023-04-22 01:12:00,0,0,-272600,-272600,-272600,-272600,0,0,23236751925752221501
2023-04-22 01:13:00,14153825065563756632929,-20464668335,-272613,-272601,-272614,-272601,14153825065563756632929,0,23233749191167350638
2023-04-22 01:14:00,1504800000000000000000,-2173993618,-272616,-272616,-272616,-272616,1504800000000000000000,0,23237841816265483421
2023-04-22 01:15:00,0,0,-272616,-272616,-272616,-272616,0,0,23237841816265483421
2023-04-22 01:16:00,33566454755914103968514,-48405954243,-272651,-272617,-272651,-272617,33566454755914103968514,0,23162747882222037161
2023-04-22 01:17:00,0,0,-272651,-272651,-272651,-272651,0,0,23162747882222037161
2023-04-22 01:18:00,-1000000000000000000000,1448345245,-272650,-272650,-272650,-272650,0,1448345245,23162747882222037161
2023-04-22 01:19:00,-14894305330181953323777,21589889540,-272634,-272649,-272649,-272634,0,21589889540,23237841816265483421
2023-04-22 01:20:00,-22890916721049010591015,33246288495,-272634,-272633,-272633,-272611,0,33246288495,23237841816265483421
2023-04-22 01:21:00,-1000000000000000000000,1454176843,-272609,-272609,-272609,-272609,0,1454176843,23303819024008657914
2023-04-22 01:22:00,0,0,-272609,-272609,-272609,-272609,0,0,23303819024008657914
2023-04-22 01:23:00,0,0,-272609,-272609,-272609,-272609,0,0,23303819024008657914
2023-04-22 01:24:00,0,0,-272609,-272609,-272609,-272609,0,0,23303819024008657914
2023-04-22 01:25:00,-1000000000000000000000,1454327125,-272608,-272608,-272608,-272608,0,1454327125,23303999858166813239
2023-04-22 01:26:00,0,0,-272608,-272608,-272608,-272608,0,0,23303999858166813239
2023-04-22 01:27:00,0,0,-272608,-272608,-272608,-272608,0,0,23303999858166813239
2023-04-22 01:28:00,0,0,-272608,-272608,-272608,-272608,0,0,23303999858166813239
2023-04-22 01:29:00,0,0,-272608,-272608,-272608,-272608,0,0,23303999858166813239
2023-04-22 01:30:00,787141208780188690035,-1137915202,-272609,-272609,-272609,-272609,787141208780188690035,0,23303999858166813239
2023-04-22 01:31:00,0,0,-272609,-272609,-272609,-272609,0,0,23303999858166813239
2023-04-22 01:32:00,0,0,-272609,-272609,-272609,-272609,0,0,23303999858166813239
2023-04-22 01:33:00,0,0,-272609,-272609,-272609,-272609,0,0,23303999858166813239
2023-04-22 01:34:00,0,0,-272609,-272609,-272609,-272609,0,0,23303999858166813239
2023-04-22 01:35:00,0,0,-272609,-272609,-272609,-272609,0,0,23303999858166813239
2023-04-22 01:36:00,0,0,-272609,-272609,-272609,-272609,0,0,23303999858166813239
2023-04-22 01:37:00,0,0,-272609,-272609,-272609,-272609,0,0,23303999858166813239
2023-04-22 01:38:00,0,0,-272609,-272609,-272609,-272609,0,0,23303999858166813239
2023-04-22 01:39:00,0,0,-272609,-272609,-272609,-272609,0,0,23303999858166813239
2023-04-22 01:40:00,0,0,-272609,-272609,-272609,-272609,0,0,23303999858166813239
2023-04-22 01:41:00,-11458494883116840310760,16673781448,-272597,-272606,-272608,-272597,0,16673781448,23303999858166813239
2023-04-22 01:42:00,-6790300000000000000000,9890202662,-272590,-272596,-272596,-272590,0,9890202662,23303999858166813239
2023-04-22 01:43:00,-13189931243631241622993,19231207094,-272577,-272589,-272589,-272577,0,19231207094,24464272193637200119
2023-04-22 01:44:00,0,0,-272577,-272577,-272577,-272577,0,0,24464272193637200119
2023-04-22 01:45:00,0,0,-272577,-272577,-272577,-272577,0,0,24464272193637200119
2023-04-22 01:46:00,0,0,-272577,-272577,-272577,-272577,0,0,24464272193637200119
2023-04-22 01:47:00,-6934400000000000393216,10120712040,-272570,-272576,-272576,-272570,0,10120712040,24464272193637200119
2023-04-22 01:48:00,-22014593146241947071101,32176077318,-272548,-272569,-272569,-272548,0,32176077318,24464272193637200119
2023-04-22 01:49:00,-6298500000000000131072,9218630223,-272542,-272548,-272548,-272542,0,9218630223,24464272193637200119
2023-04-22 01:50:00,0,0,-272542,-272542,-272542,-272542,0,0,24464272193637200119
2023-04-22 01:51:00,-3414519607152047466173,4999967480,-272539,-272541,-272541,-272539,0,4999967480,24464272193637200119
2023-04-22 01:52:00,-17099826944818412294961,25065103004,-272539,-272538,-272538,-272522,0,25065103004,24464272193637200119
2023-04-22 01:53:00,0,0,-272539,-272539,-272539,-272539,0,0,24464272193637200119
2023-04-22 01:54:00,0,0,-272539,-272539,-272539,-272539,0,0,24464272193637200119
2023-04-22 01:55:00,-7609599999999999606784,11167856800,-272514,-272521,-272521,-272514,0,11167856800,24496581246535000663
2023-04-22 01:56:00,-7294723772660704198772,10713627693,-272507,-272513,-272513,-272507,0,10713627693,24496581246535000663
2023-04-22 01:57:00,0,0,-272507,-272507,-272507,-272507,0,0,24496581246535000663
2023-04-22 01:58:00,0,0,-272507,-272507,-272507,-272507,0,0,24496581246535000663
2023-04-22 01:59:00,0,0,-272507,-272507,-272507,-272507,0,0,24496581246535000663
2023-04-22 02:00:00,0,0,-272507,-272507,-272507,-272507,0,0,24496581246535000663
