timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2023-04-22 00:00:00,-1372350769336383957,2542322436,-201097,-201098,-201098,-201097,2027997451990228996,6290028505,7636324077233948085
2023-04-22 00:01:00,-10661235936514109114,19722495135,-201096,-201097,-201097,-201096,12901413483837132,19746338973,7636324077233948085
2023-04-22 00:02:00,12486007595890397666,-23055572497,-201096,-201099,-201099,-201098,22900000000000000000,19262410288,7636324077233948085
2023-04-22 00:03:00,-18094884989811533713,33474877147,-201096,-201098,-201098,-201096,3173855726353030,33480742226,7636455393179572410
2023-04-22 00:04:00,-20462739635672451223,37863604000,-201093,-201095,-201095,-201093,37220163992763011,37932399425,7637353400093774429
2023-04-22 00:05:00,-79734818560308397146,147625836785,-201084,-201093,-201093,-201084,1406092209949454509,150227069698,7309449783234144573
2023-04-22 00:06:00,3766571641131177525,-6967364673,-201084,-201084,-201085,-201084,5008749872316145825,2300759289,7309449783234144573
2023-04-22 00:07:00,-2606183775741722675,4827282157,-201084,-201084,-201084,-201084,3235393564972256,4833268976,7309449783234144573
2023-04-22 00:08:00,2563710174414040654,-4730005436,-201084,-201085,-201085,-201084,10045234566454189653,13856762282,7316602263392471019
2023-04-22 00:09:00,14291997428278633812,-26442458201,-201086,-201085,-201086,-201085,14649724871447241493,662518984,7316602263392471019
2023-04-22 00:10:00,780702238653683388,-1444330980,-201086,-201086,-201086,-201086,780702238653683388,0,7316602263392471019
2023-04-22 00:11:00,-13500122663243941839,25002648061,-201085,-201085,-201085,-201085,3222350641999829,25008610460,7316602263392471019
2023-04-22 00:12:00,-7279018009761370239,13482783032,-201084,-201084,-201084,-201084,92117294791318234,13653244747,7316602263392471019
2023-04-22 00:13:00,-4936194209773482236,9144083287,-201083,-201084,-201084,-201083,175985966190288639,9469761829,7316602263392471019
2023-04-22 00:14:00,-10794217523883438408,19997355930,-201082,-201083,-201083,-201082,218222025560374791,20401195405,7316602263392471019
2023-04-22 00:15:00,-6897878843188527053,12780102746,-201082,-201082,-201082,-201081,15245014232633901,12808318726,7316602263392471019
2023-04-22 00:16:00,-14476209656622387526,26824201129,-201079,-201081,-201081,-201079,3293552352764474,26830298278,7587280097496595882
2023-04-22 00:17:00,-6784253593186710600,12573841060,-201079,-201079,-201079,-201079,649047118733674497,13775508304,7587280097496595882
2023-04-22 00:18:00,9084751287501027714,-16817189036,-201080,-201079,-201080,-201079,10003061753073689870,1701779827,7587280097496595882
2023-04-22 00:19:00,31339212268191746503,-58000438677,-201083,-201080,-201083,-201080,34217485126821375151,5332472282,7319783222100135234
2023-04-22 00:20:00,4607082032557958848,-8524114192,-201084,-201083,-201084,-201083,5330316157730496780,1339652882,7343398624886141571
2023-04-22 00:21:00,-103991220377588025114,192739579351,-201084,-201084,-201084,-201072,50000000000000000,192832102342,7343398624886141571
