timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2023-04-22 00:00:00,15392969371508590980414,-22608569309,-272477,-272462,-272487,-272462,24705000000000000000000,13681376755,23065306079125671916
2023-04-22 00:01:00,13295999998000000000000,-19511124857,-272491,-272478,-272491,-272478,13295999998000000000000,0,23350180905598734244
2023-04-22 00:02:00,-1954597110931355104264,2878248546,-272489,-272492,-272497,-272489,6001999999000000000000,11677028632,23350505282356531290
2023-04-22 00:03:00,-4754164695541306868372,6982701015,-272484,-272488,-272488,-272484,633891328125447349593,7912527544,23350509409532265933
2023-04-22 00:04:00,-26077999998000000000000,38357768588,-272457,-272483,-272483,-272457,0,38357768588,23635918062331667252
2023-04-22 00:05:00,-48682214489956608098296,71952688553,-272407,-272456,-272456,-272397,47385276597941871911247,141990829301,22977536778461742718
2023-04-22 00:06:00,6554787491885870602219,-9686484165,-272414,-272408,-272416,-272408,9129600000000000000000,3808452630,22979216948529837389
2023-04-22 00:07:00,27685024179455401969970,-40839960281,-272443,-272412,-272443,-272410,37384173679063269406064,14345452795,23065986395533783634
2023-04-22 00:08:00,37587476670068375615152,-55205487181,-272482,-272444,-272482,-272432,86179623984523983572714,71604270348,23350861222006845962
2023-04-22 00:09:00,30228363030252065167500,-44263208116,-272513,-272483,-272513,-272475,54186927259976249287421,35165576846,25082193738792040550
2023-04-22 00:10:00,-9174078359069208031890,13444979464,-272504,-272513,-272514,-272504,1000000000000000000000,14908186060,25082193738792040550
2023-04-22 00:11:00,-9816221476994802612062,14403460367,-272494,-272502,-272502,-272493,3785983137617639367620,19952887610,23350861222006845962
2023-04-22 00:12:00,-29159461642538359266678,42886517754,-272463,-272492,-272492,-272454,20597210892955954523659,73184150619,23065986395533783634
2023-04-22 00:13:00,4697608794566920296195,-6906132374,-272468,-272463,-272468,-272463,4697608794566920296195,0,23319498449209696399
2023-04-22 00:14:00,-6186133316355936194705,9107348937,-272462,-272469,-272470,-272462,2088700000000000000000,12176942836,23319498449209696399
2023-04-22 00:15:00,4972400000000000000000,-7311143426,-272467,-272463,-272467,-272463,4972400000000000000000,0,23319498449209696399
2023-04-22 00:16:00,10172107687598187351818,-14943270668,-272478,-272468,-272479,-272468,11172107687598187351818,1469811114,23319498449209696399
2023-04-22 00:17:00,-8520201584547513420308,12545504955,-272469,-272476,-272476,-272457,11060402429397760479800,28810485588,23331495056885961669
2023-04-22 00:18:00,18578536652614102782531,-27278314443,-272488,-272470,-272488,-272470,18955294646936031758661,553206832,23616369883359023997
2023-04-22 00:19:00,13211220165801559539800,-19366096448,-272501,-272489,-272501,-272489,13390678412633440567056,263281230,25347702400144218585
2023-04-22 00:20:00,1533600000000000000000,-2246435064,-272503,-272503,-272503,-272503,1533600000000000000000,0,25347702400144218585
2023-04-22 00:21:00,-2025838880557558570791,2970511933,-272501,-272502,-272502,-272501,0,2970511933,25347702400144218585
2023-04-22 00:22:00,10058722790013912048566,-14728833795,-272510,-272502,-272510,-272502,10058722790013912048566,0,25347702400144218585
2023-04-22 00:23:00,16011621575320048211901,-23415615510,-272526,-272512,-272526,-272512,16553347831820108547968,792793798,25094680817700984147
2023-04-22 00:24:00,6940448979870607689788,-10128808454,-272532,-272526,-272535,-272525,13892164841927891590730,10165176635,25100992030401457170
