timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2023-04-22 00:00:00,-236284668836,127879216378766575230,201100,201100,201100,201100,1612000000,128751000000000000000,31258591601745406912
2023-04-22 00:01:00,7516838696,-4064367666838197137,201100,201100,201100,201100,8951549240,776675000000000000,31258591601745406912
2023-04-22 00:02:00,30227515108,-16301766670978383441,201098,201100,201098,201100,104117686944,40000000000000000000,16666308073145539074
2023-04-22 00:03:00,27759817954,-15007765173741132146,201097,201098,201097,201098,29331524986,850620000000000000,16666308073145539074
2023-04-22 00:04:00,76408373125,-41250360415399396079,201095,201097,201095,201100,177269384531,54591434268704650534,16666308073145539074
2023-04-22 00:05:00,139928132820,-75614739649250060413,201091,201091,201091,201091,149117430734,4970000000000000000,16666308073145539074
2023-04-22 00:06:00,6122073251,-3306648510594966203,201091,201091,201091,201091,8262813975,1157830518798270387,16666308073145539074
2023-04-22 00:07:00,167299568414,-90371533800480237135,201086,201089,201086,201089,167299568414,0,16780125888867700785
2023-04-22 00:08:00,-4227433909,2288455172757279951,201086,201087,201086,201087,5772566091,5406006617017656100,16780125888867700785
2023-04-22 00:09:00,5408405664,-2910248091776971131,201086,201087,201086,201087,25000000000,10591109087601889216,16780125888867700785
2023-04-22 00:10:00,-7201684937,3895033453447200073,201086,201087,201086,201087,3377578785,5719143089299146811,16780125888867700785
2023-04-22 00:11:00,-6674033090,3609162911991544277,201087,201087,201087,201087,2095322730,4740790780628316102,16780125888867700785
2023-04-22 00:12:00,48529985090,-26201747840429262786,201085,201086,201085,201086,59936885349,6166144148533798092,16780125888867700785
2023-04-22 00:13:00,105202998819,-56800329293124407948,201082,201085,201082,201085,106923819329,930138424699084832,16780125888867700785
2023-04-22 00:14:00,-1780422978,964277560151176933,201082,201082,201082,201082,4010000000,3129031575980729934,16780125888867700785
2023-04-22 00:15:00,51663865878,-27888025906699124052,201081,201082,201081,201082,52472714335,437089916582568304,16780125888867700785
2023-04-22 00:16:00,-347068342,187523729620883662,201081,201081,201081,201081,0,187523729620883662,16780125888867700785
2023-04-22 00:17:00,123328001701,-66549118332954733976,201078,201080,201078,201080,138190471501,8029480331336651751,16844936748468404730
2023-04-22 00:18:00,-15394749421,8315250577317037167,201078,201078,201078,201078,0,8315250577317037167,16844936748468404730
2023-04-22 00:19:00,-15876121938,8575626851153546207,201079,201078,201078,201079,0,8575626851153546207,16844936748468404730
2023-04-22 00:20:00,-5899921600,3212858710845859325,201079,201079,201078,201079,47900000000,29062247085761459709,16844936748468404730
2023-04-22 00:21:00,3000000000,-1618911518541823969,201079,201079,201079,201079,3000000000,0,16844936748468404730
2023-04-22 00:22:00,-138712764026,74940115419381549517,201081,201079,201079,201081,320000000,75112798744748444397,29437984133994845570
2023-04-22 00:23:00,39187755992,-21147535393136290124,201081,201080,201080,201081,47239173952,4350000000000000000,29437984133994845570
2023-04-22 00:24:00,-220693780354,119269844480293383834,201084,201081,201080,201084,23000000000,131683872664421744739,29437984133994845570
2023-04-22 00:25:00,-291289789073,157559024188100090529,201089,201084,201081,201089,165862962959,247101876075950770969,29437984133994845570
2023-04-22 00:26:00,-8556544401,4629411775486969069,201089,201089,201089,201089,5000000000,7330318965905227381,29437984133994845570
2023-04-22 00:27:00,69090833813,-37319561176046477525,201088,201089,201088,201089,69490833813,216286948175552139,29437984133994845570
2023-04-22 00:28:00,50659355065,-27359909203849492926,201087,201088,201087,201088,53289735702,1422160597000000000,29437984133994845570
2023-04-22 00:29:00,-318880024415,172460012109528368992,201092,201087,201087,201092,41878463401,195086000000000000000,29324166318272683859
2023-04-22 00:30:00,-7017188573,3799617559277900919,201092,201092,201092,201092,7447350535,7823845784217071303,29324166318272683859
2023-04-22 00:31:00,-4388699000,2376330250804302063,201092,201092,201092,201092,4559915068,4840329455914129736,29324166318272683859
2023-04-22 00:32:00,17861843170,-9650622219055987058,201092,201092,201092,201092,20000000000,1156512257392816311,29324166318272683859
2023-04-22 00:33:00,182132712657,-98414874610379496762,201092,201092,201092,201092,182316875127,99610967109993962,29324166318272683859
2023-04-22 00:34:00,-126503488145,68435823956506129117,201094,201092,201092,201094,11312579353,74548933624370300604,29324166318272683859
2023-04-22 00:35:00,-73205973951,39606680815927385280,201095,201094,201094,201095,1850110220,40606680815927385280,29324166318272683859
2023-04-22 00:36:00,446781688,-241488788003993829,201095,201095,201095,201095,446781688,0,29324166318272683859
2023-04-22 00:37:00,-209520043856,113379776389225696667,201098,201097,201097,201098,963877779,113900859090288431010,29324166318272683859
2023-04-22 00:38:00,-223808879999,121153124949163169230,201102,201101,201101,201102,0,121153124949163169230,29304516593844146263
2023-04-22 00:39:00,-1584141676,858829399079565326,201102,201102,201102,201102,2109836046,2000000000000000000,29304516593844146263
2023-04-22 00:40:00,5675450137,-3068083120082127663,201102,201102,201102,201102,8709095676,1642476958959741226,29304516593844146263
